제목,장점,단점,경영진에게 하고싶은 말
첫 직장으로 괜찮습니다. 모든것이 보통. 비교적 사람들이 순한 편.,연차 반차 반반차 - 휴가 자유로움 - 지연출근(전 날 10시에 퇴근하면 10시까지 출근. 11시에 퇴근하면 11시까지 출근) - 주로 휴가 관련 장점이 많습니다. - 다양한 제품군 서비스 중 - 자사 서비스만 하고있고 모든 것을 사내 인력으로 해결하려고 해서 다양한 분야 경험 가능(,일수도) 단점 - 개발자 중심 회사로 기획자가 발전하기엔 부족 - 중간관리자 부재 - 모바일 시대인데 성공한 모바일 프로젝트가 거의 없음 - 은근 수직적인 결정구조,중간 실무자들이 왜 계속 나가는지 생각해주세요. 개발자 중심의 문화 보다는 기획 마케팅과 함께하는 분위기 개선에 힘을 실어주세요.
웬만한 개발 분야들을 두루 진행하기에 원하는 분야개발 분야가 있다면 첫 시작으로 좋은 직장.,"조용하고 무난무난한 느낌. 중소기업치고 나쁘지 않은 초봉, 웬만한 개발분야들은 하나씩 두루두루 하고 있음.",개발 분야 외 직군 의사반영도가 약한듯하다. 전체적으로 세련되지 못한 느낌이 있다.,비개발 분야의 의견반영도 많아야 될것 같습니다.
개발자로서 시작하기 좋은 기업입니다 ~,"서울 서초역 위치, 사내 커피 제공, 회사 분위기 좋음.",제주도 근무의 경우 답답한 면이 있습니다. 아무래도 서울에서 멀다보니 육지에서 온 사람들은 친구만나기도 함들고 답답한 면이 있어요~,개발자로서 시작하기 좋은 기업입니다 ~
"본인 의지만 있다면 다양한 업무를 해볼 수 있는 곳. 하지만 모바일 시대 흐름에 뒤쳐지면서 성장성이 낮아졌고, 좋은 인재들이 많이 떠났음. 고인 물 교체가 필요하다.","야근을 하면 지연출근제가 적용되어 1~2시간 늦게 출근할 수 있다. 도전의식이 있고 하드워킹 하는 스타일이라면 많은 일을 해볼 수 있고, 개인 성장이 가능하다.","회사 전반적으로 개발자 우대 문화를 갖고 있는데, 그걸 악용하여 실력 없는 개발자들이 일 안하려고 뻐팅긴다. 좋은 인재는 나가고 나쁜 인재들만 남아 기업 성장 가능성이 매우 낮다.","제품 개발 우선 주의를 갖고 현재 위치까지 성장해 왔으나, 예전의 성공 방식에 집착해선 안된다. 사업, 기획, 홍보, 마케팅의 중요성을 낮춰보지 말아야 한다. 더 큰 회사가 되려면 임원진에 비개발직군이 선발되어야 한다."
신입 개발자에겐 나쁘지 않아요. 경력 있으면 다른 곳으로!,"모든 개발자는 성과 상관없이 알고리즘 시험 1~2회 통과하면 4천 초중반 받음. 출산휴가, 휴직, 복직, 휴가 사용이 자유로운 편. (계열사별 부서별로 다를 수 있음)","일부 오래된 직원들의 곤조와 텃세로 업무가 경직되는 경우가 잦음. 신입땐 연봉이 빨리 상승하지만 그 이후는 올라가기 어렵고, 상승폭도 낮음.",월급 루팡들 좀 한층에 몰아두면 좋겠네요.
신입이 입사하여 경력을 키우기 좋은 회사임,출퇴근이 좋음 근데 경력이라 그런거일수도있고 아마 신입은 아닐수도 있지만 아무튼 자유도가 있는것 같음,신입에게만 좋은것 같음 경력은 자기가 해온대로 일하기 어려움 큰 단점은 아니지만 굳이 단점을 뽑으라고 해서 쓴거임,바라는점 없음 아마 앞으로 크게 성장해서 글로벌 소프트웨어가 될 것으로 보입니다.
자유롭게 업무능력을 키우고싶다면 추천,연차자유도 높음 눈치안보고 업무에 매달릴수있는 환경 회사에서 배려가 좋음.,최근들어 점점 복지 혜택이 줄어들고있음. 최근 트렌드에 잘 못따라가고 뒤처지고있음.,회사가 사정이 좋아지면 직원들에게도 혜택이 많이 돌아갔으면 좋겠습니다.
개발자 중심의 회사. 끊임없이 무언가를 하고 있긴 하지만 미래는 잘 모르겠다.,팀마다 분위기는 다르겠지만 대체로 눈치없는 퇴근이 가능하고 휴가를 쓰는데도 큰 제약이 없다. 업무와 삶의 균형을 찾고자 하는 사람들이라면 추천,이스트 공무원이라는 말이 있을 정도 안정적이다. 현실에 안주하는 사람이라면 좋겠지만 발전을 원하는 사람에게는 좋을지 모르겠다.,회사가 커갈수록 직원들과 멀어지는 느낌이드는데 직원들과의 거리와 관계를 지속적으로 유지했으면 좋겠다.
더할나위없이 좋다 하지만 개발자가 많이 우대를 받는다~,"위치가 좋다, 판교가 아니라는 점이 좋다 사장마인드가 좋다",식당이 없어서 밥을 사먹어야 하는 점이 많이 불편하고 점심지원을 원한다,점심이랑 간식지원 해주세요~~ 아침도 다양했으면 좋겠습니다
문어발 사업확장으로 망할것도 같지만 안망할 회사,그래도 인력처우를 고민하고 해결하고자 하는 의지는 있음,생각보다 수직적 구조이고 상향식 의견전달은 묵살되기 쉬움,"창업멤버라고 너무 심하게 낙하산 태우지도 않고, 나름 대접도 하는게 나쁘진않아보이지만 승진 체계등은 불만요소가 많음"
다른 직군에 비해 개발자에게 조금은 유리한 점이 있다 게임업계 특유의 자유로움은 있는 곳,업무 분위기는 자유로운 편 복장이나 근무여건은 대체로 자유로운 편이다,처우가 몇 년전까진 괜찮은 정도였으나 변함이 없는 상태이고 오를 수 있는 기회도 적음 팀마다 다르겠지만 분위기 별로 좋지 않음,한 사람에게 너무 많은 권력이 몰리지 않게 조절해야 할 필요성이 있습니다
대외적인 이미지는 매우 좋은편이나 대리급 미만 직원들만 죽어라 일하는 구조,복장이 자유롭고 야근에대한 부담이 적은편 여직원이 근무하기는 대한민국 다섯손가락 안에 들 정도로 좋은편,하루종일 일안하고 놀아도 뭐라하는 사람이 없어서 종일 농땡이치는 직원이 많음. 팀간의 협업이 잘 이뤄지지 않음,일안하고 월급만 꼬박꼬박 받아가는 중간급 이상들을 과감히 쳐내야 회사가 살아남.
"상급자와 실무자가 전혀 소통이 안되는 회사, 대외적 이미지와 전혀 다른 분위기","업무강도가 낮음, 연차사용의 자유로움, 복장 자율화, 칼퇴가능","일을 위한 일이많아 비효율적임, 실무자와 상사간 전혀 소통이 안됨","구성원들이 행복한 회사, 동기부여가 가능한 회사를 만들었으면.."
"알집, 알약 이후로 딱히 혁신은 없는 회사. 비전 불투명",알집과 알약의 인지도. 생일인 직원에게 상품권 지급.,신입에 대한 교육이 체계적이지 않음. 기존 사업은 모르겠지만 신사업분야 부서의 경우 일이 많은데 사람은 부족하여 과부하 상태. 사내식당 없어서 사먹어야함. 적은 연봉. 올드한 근무환경. 구식 업믄 프로세스.,"알집, 알약 이후로 혁신이 없어요. 기존에 있던 서비스 한두개 기능 추가해서 출시하는 느낌?"
회사 업무의 자율도가 높다. 사내 문화도 편안한 느낌이다.,연차를 마음대로 쓸 수 있다. 자기 할일만 잘 하면 칼퇴근을 눈치보지 않고 할 수 있다. 칼퇴를 위해서라도 업무에 대한 공부를 열심히 하기 때문에 자기개발도 반강제적으로 하게된다.,회사 재정이 어려워져서,바라는 점은 따로 없습니다. 회사의 미래를 위해 열심히 일해주세요.
매우 젊고 활동적이며 깔끔한 분위기의 회사,젊은 인력들이 많기 때문에 활기차며 새로운 아이디어 제안 및 수용이 비교적 활발하게 이루어지는 편임,"실력 위주의 승급 기회가 주어지는 것이 장점으로 작용할 수 있지만, 비개발자는 개발자에 비해 상대적으로 소외되는 느낌을 받을 수도 있음",앞으로도 지금까지와 같이 자유로운 의사소통 분위기가 지속되었으면 함
복지가 점점 줄어가고 있음. 뚜렷한 캐시카우가 없어보임. 수평적인 분위기는 장점,업무강도가 높지는 않음. 출시를 앞두고 있으면 살짝 바쁜정도? 칼퇴 가능함.,인사평가제도가 미흡함. 자기계발을 적극적으로 권장하지 않는 분위기. 본인이 알아서 발전해야됨.,인공지능으로 뭐할껀지 명확하게 공유해줬으면 좋겠음.
"게임쪽은 죽어가는 분위기 월급 루팡이 많음, 칼퇴들을 잘함 그외는 잘 모름","팀에 따라 다르지만 연차, 반차, 반반차 사용이 쉬움 술없는 회식 워크샵은 잘안감",인센티브가 없음,게임은 만들때는 많은 사람들의 의견을 받거나 프로타입부터 사내 테스트로 의견을 좀 받아서 개발했으면
가늘고 길게 다니기 좋음. 특히 여자에게 추천,연차 사용이 자유롭고 야근이 없음. 업무 스트레스도 크지 않음,정치가 있고 라인이 있으며 사람 관리를 잘 하지 못함 성과급등의 연봉외 보너스 없음.,사람이 재산입니다 고급인력이 나가도록 두지 마세요.
회사가 개발자 위주로 운영되는 경향이 있음. 회식 별로 없음,개발자에 대해서는 너그러운 편이며 업무시간 이외의 시간은 터치를 많이 하지 않음. 시험을 통하여 일찍 연봉을 높일 수 있는 기회를 줌,개발자 이외의 직군은 힘들 수 있음. 개발자를 많이 챙기다 보니 다른 직군이 소외되는 모습을 볼 수 있음,경영진이 바뀌고 난 후 수평적인 것보다는 수직적인 모습을 보여주고 있는데 수평적으로 생각해주었으면 합니다
"개발자 우대가 좋고, 시험을 통한 승진 제도가 있어 고속 성장이 가능함",휴가를 상사 눈치보지 않고 자유롭게 다녀올 수 있는 구조입니다.,부서 내 변화가 자주 발생하고 있어 그 와중에 희생자들이 발생하는 경우가 있다. 개별 구성원에 대한 배려가 있으면 좋겠음,적극적인 투자를 하고 있습니다 사내에 적극적으로 공유하려는것도 좋음
팀이 어느 팀이냐에 따라 당신의 운명이 천국과 지옥으로 나뉘게됩니다,연차를 사용하는 것이 자유로운 편이다 젊은 분위기에서 일할 수 있다,점점 사라지는 복지 불투명한 비전 체계가 잡혀있지않아서 업무하기 힘듬 관리자급이 너무 적고 사원들만 많음,실무자에게 현실적으로 지시를 내렸으면 좋겠습니다 아무래도 어렵겠지만..
개발자 아니면 입사하는걸 다시 생각해보길 바람. 기본적으로 연봉부터 대우 환경 모든게 개발자 위주임. 또한 과거부터 있던 사람들의 정치가 매우 심각함..,몇 몇 캐시카우는 아니지만 지속적으로 매출이 나오는 곳이 있어서 망하지는 않음. 개발자의 경우 신입으로 입사하여 시험을 통하여 연봉을 올리고 이직 하기 좋은구조,"임직원 조차 매출이 왜 나오는지 알수 없는 환경. 경력입사자라면 절대 입사 비추, 새로운 인력에게 맡은 업무를 나눠주지 않음. 결국 경력입사자는 할게 없어서 금방 퇴사함.",안될것 같은 사업이나 무리한 사업은 안하는게 좋을듯.
"다니기 좋고 오래 다닐만한 회사. 어쩐지 여성이라면 더 다니기 좋은 거 같다. 학력, 성별, 인종(?), 지역, 나이 차별이 거의 없다.능력이 있다면 누구라도 인정받아 승진하고 대우 받을 수 있는 곳.",연차제도가 좋고 대학교 같은 수평적인 분위기가 나쁘지 않다. 근데 그렇다고 너무 편하고 만만하게 보면 발릴 수 있다(?)..,직군에 따라 차별이 있다고 느껴지고 업무 강도에 차이가 있다. 분명 다니기에 좋은 회사이지만 특정 직군은 지 옥같은 환경을 경험할지도 모른다. 얼마 못바텨서 사람을 자주뽑은 파트가 있다면 그런 곳일지도..,실무는 실무진에게 맡기고 관리를 중점적으로 했으면 한다. 너무 이랬다 저랬다 사소한 부분까지 지시하고 감시하고 통제하면 서로 피곤하지 않겠는가?
"밝고 자유로윤 회사 분위기, 딱딱하지 않은 인간관계, 하지만 전문성이 있는 기업","자기 업무만 잘 하면 위에 눈치보고 그런것 없음. 자유롭고 밝은 분위기, 진짜 직원중심 사내문화, 나쁘지 않은 연봉, 최근 대표 교체로 인해 성장 의욕이 엄청남",직원들끼리 교류를 강조해서 솔플을 좋아하는 사람들은 조금 불편하게 느낄수도 있음.,새로운 대표 부임으로 성장 의지가 고조된 만큼 직원들을 잘 이끌어 주시길 바람.
"블로그나 대외적으로는 매우 수평적인 기업인것 같지만, 아주 수직적이고 보수적임","복장은 편해서 좋다, 정해진 틀 안에서는 자유롭다, 개발방법이나 개발론에 대해선 터치가 없다. 일만 해내면 됨","수직적이고 사장말은 다해야한다, 옳지 않은 결정이 많지만 해야함, 주먹구구식이 많은것 같음. 관리자가 무능한경우가 많고 업무지시는 지나치게 포괄적임.",직원들의 말을 좀 들어줬으면 좋겠다. 관리를 제대로 해주길
개인의 역량에 따라 다양한 경험의 할 수 있는 곳,풀스택 개발 경험을 쌓을 수 있음. 인간적인 문화. 예술의 전당 바로앞.,일반 IT 기업과 같이 야근이 잦음. 점점 수직,좀 더 자유롭고 신나는 개발문화를 만들 수 있도록 노력해주세요.
